DATAHORA,ALTURA,INFLEXAO,t,T,n1,n2,h1,h2
2006-07-09 03:00:00,1.9792832564208853,False,28,403,2.0,0.5,0.9861888376139235,0.013811162386076499
2006-07-09 03:10:00,1.9625050115867901,False,38,403,2.0,0.5,0.9750033410578601,0.024996658942139878
2006-07-09 03:20:00,1.94123026130747,False,48,403,2.0,0.5,0.9608201742049799,0.03917982579502013
2006-07-09 03:30:00,1.9157340212064853,False,58,403,2.0,0.5,0.9438226808043235,0.056177319195676464
2006-07-09 03:40:00,1.8862913069073977,False,68,403,2.0,0.5,0.9241942046049318,0.07580579539506813
2006-07-09 03:50:00,1.8531771340337686,False,78,403,2.0,0.5,0.9021180893558457,0.09788191064415426
2006-07-09 04:00:00,1.8166665182091586,False,88,403,2.0,0.5,0.8777776788061058,0.12222232119389419
2006-07-09 04:10:00,1.7770344750571294,False,98,403,2.0,0.5,0.851356316704753,0.14864368329524696
2006-07-09 04:20:00,1.734556020201242,False,108,403,2.0,0.5,0.823037346800828,0.17696265319917193
2006-07-09 04:30:00,1.6895061692650575,False,118,403,2.0,0.5,0.7930041128433717,0.20699588715662828
2006-07-09 04:40:00,1.6421599378721372,False,128,403,2.0,0.5,0.7614399585814248,0.23856004141857523
2006-07-09 04:50:00,1.5927923416460423,False,138,403,2.0,0.5,0.7285282277640281,0.2714717722359719
2006-07-09 05:00:00,1.5416783962103335,False,148,403,2.0,0.5,0.6944522641402224,0.30554773585977757
2006-07-09 05:10:00,1.4890931171885728,False,158,403,2.0,0.5,0.6593954114590486,0.34060458854095144
2006-07-09 05:20:00,1.435311520204321,False,168,403,2.0,0.5,0.6235410134695473,0.37645898653045273
2006-07-09 05:30:00,1.380608620881139,False,178,403,2.0,0.5,0.5870724139207593,0.41292758607924074
2006-07-09 05:40:00,1.3252594348425881,False,188,403,2.0,0.5,0.5501729565617254,0.4498270434382746
2006-07-09 05:50:00,1.2695389777122297,False,198,403,2.0,0.5,0.5130259851414865,0.48697401485851355
2006-07-09 06:00:00,1.213722265113625,False,208,403,2.0,0.5,0.4758148434090833,0.5241851565909167
2006-07-09 06:10:00,1.158084312670335,False,218,403,2.0,0.5,0.43872287511355673,0.5612771248864432
2006-07-09 06:20:00,1.1029001360059207,False,228,403,2.0,0.5,0.4019334240039472,0.5980665759960528
